Superdrug UK,12766,0424 WEEK 14,SDGB,03.04.2024,09.04.2024,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
item,item_status,dept,dept_name,class,class_name,subclass,sub_name,item_desc,item_long_desc,item_brand,model_no,promo_space,product_size,now price per uom,new_was_price_per_uom,uom,xx_prom_type,group_name,xx_prom_id,sku_band,offer_type,offer_desc,offer_qualify_qty,reward,now_price,new_was_price,new_was_was_price,save,bul_one,bul_two,bull_three,image,shelf_tags,no1,no2,no3,no4,0,now_price,new_sku_flag,blip_shelf,blip_position,no_of_stores,Brand_Cat,store_type(xx_prom_desc),data_available,feature_promotion,was_was_price_start_date,was_was_price_end_date,calculated_was_was_price,calculated_was_was_duration,was_price_start_date,was_price_end_date,calculated_was_price,calculated_was_price_duration,new_was_was_price,was_was_price_duration,new_was_price1,was_price_duration,promotion_price,duration_on_promotion_price,exception_flag,was_price_1,overlapping_promotion,overlapping_promo_missing_xppe,offer_code,reward_type_desc,buy_condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
708102,1100,104,ORAL CARE,16,BRUSH - MANUAL,5,ORAL B              ,ORALB 3D WHITE BRILLIANCE MED TOOTHBRUSH,3D WHITE BRILLIANCE 40MED TOOTHBRUSH,ORAL B,,TALKER_FAMILY,1, , ,each,131,ORAL-DEO-BEAUTY ELEC,341185, ,131,Enhance Promotion,1,.04,2.99,2.99,0,0,,STARBUY MEMBERS ONLY @£1.45,,,1,1,1,1,1,0,2.99,N,0,0,761,A (A Brand),0424 ORAL B STARBUY MEMBERS ONLY @£1.45,Y,,29-NOV-23,03-JAN-24,0,35,03-JAN-24,27-MAR-24,2.99,84,0,0,2.99,84,0,,N,2.99,Y,N,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
708102,1100,104,ORAL CARE,16,BRUSH - MANUAL,5,ORAL B              ,ORALB 3D WHITE BRILLIANCE MED TOOTHBRUSH,3D WHITE BRILLIANCE 40MED TOOTHBRUSH,ORAL B,,TALKER_LOCAL VALUE,1, , ,each,131,ORAL-DEO-BEAUTY ELEC,341185, ,131,Enhance Promotion,1,.04,2.99,2.99,0,0,,STARBUY MEMBERS ONLY @£1.45,,,1,1,1,1,1,0,2.99,N,0,0,761,A (A Brand),0424 ORAL B STARBUY MEMBERS ONLY @£1.45,Y,,29-NOV-23,03-JAN-24,0,35,03-JAN-24,27-MAR-24,2.99,84,0,0,2.99,84,0,,N,2.99,Y,N,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
728647,1100,104,ORAL CARE,10,PASTE - WHITENING,24,ORAL B,ORAL B 3D WHTE LUXE GLAMOROUS PASTE 75ML,3D WHITE LUXE GLAMOROUS WHITE TOOTHPASTE 75ML,ORAL B,,TALKER_BEAUTY,75, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341187, ,131,Enhance Promotion,1,.09,5.99,5.99,0,0,,STARBUY MEMBERS ONLY @£2.90,,,1,1,1,1,1,0,5.99,N,0,0,767,A (A Brand),0424 ORAL B STARBUY MEMBERS ONLY @£2.90,Y,,,,0,,22-MAR-23,31-DEC-99,0,,0,,5.99,,0,,,5.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
728647,1100,104,ORAL CARE,10,PASTE - WHITENING,24,ORAL B,ORAL B 3D WHTE LUXE GLAMOROUS PASTE 75ML,3D WHITE LUXE GLAMOROUS WHITE TOOTHPASTE 75ML,ORAL B,,TALKER_FAMILY,75, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341187, ,131,Enhance Promotion,1,.09,5.99,5.99,0,0,,STARBUY MEMBERS ONLY @£2.90,,,1,1,1,1,1,0,5.99,N,0,0,767,A (A Brand),0424 ORAL B STARBUY MEMBERS ONLY @£2.90,Y,,,,0,,22-MAR-23,31-DEC-99,0,,0,,5.99,,0,,,5.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
728647,1100,104,ORAL CARE,10,PASTE - WHITENING,24,ORAL B,ORAL B 3D WHTE LUXE GLAMOROUS PASTE 75ML,3D WHITE LUXE GLAMOROUS WHITE TOOTHPASTE 75ML,ORAL B,,TALKER_LOCAL VALUE,75, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341187, ,131,Enhance Promotion,1,.09,5.99,5.99,0,0,,STARBUY MEMBERS ONLY @£2.90,,,1,1,1,1,1,0,5.99,N,0,0,767,A (A Brand),0424 ORAL B STARBUY MEMBERS ONLY @£2.90,Y,,,,0,,22-MAR-23,31-DEC-99,0,,0,,5.99,,0,,,5.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
734750,1400,7,HAIR MASS,3,DAILY CONDITIONER   ,288,S/D SUPERFOODS,S/D AVOCADO & MANUKA CONDITIONER 400ML,AVOCADO & MANUKA HONEY CONDITIONER 400ML,SUPERDRUG,,TALKER_BEAUTY,400, per 100ml, per 100ml,per 100ml,131,HAIR (BRUSHES-COMBS),342396, ,131,Enhance Promotion,1,.1,3.99,3.99,0,0,,BETTER THAN 1/2 PRICE MEMBERS,,,1,1,1,1,1,0,3.99,N,0,0,87,P (Private Label),0424 EXTRACTS BTHP SB MO,Y,,,,0,,10-MAY-17,31-DEC-99,0,,0,,3.99,,0,,,3.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
734750,1400,7,HAIR MASS,3,DAILY CONDITIONER   ,288,S/D SUPERFOODS,S/D AVOCADO & MANUKA CONDITIONER 400ML,AVOCADO & MANUKA HONEY CONDITIONER 400ML,SUPERDRUG,,TALKER_FAMILY,400, per 100ml, per 100ml,per 100ml,131,HAIR (BRUSHES-COMBS),342396, ,131,Enhance Promotion,1,.1,3.99,3.99,0,0,,BETTER THAN 1/2 PRICE MEMBERS,,,1,1,1,1,1,0,3.99,N,0,0,87,P (Private Label),0424 EXTRACTS BTHP SB MO,Y,,,,0,,10-MAY-17,31-DEC-99,0,,0,,3.99,,0,,,3.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
734750,1400,7,HAIR MASS,3,DAILY CONDITIONER   ,288,S/D SUPERFOODS,S/D AVOCADO & MANUKA CONDITIONER 400ML,AVOCADO & MANUKA HONEY CONDITIONER 400ML,SUPERDRUG,,TALKER_LOCAL VALUE,400, per 100ml, per 100ml,per 100ml,131,HAIR (BRUSHES-COMBS),342396, ,131,Enhance Promotion,1,.1,3.99,3.99,0,0,,BETTER THAN 1/2 PRICE MEMBERS,,,1,1,1,1,1,0,3.99,N,0,0,87,P (Private Label),0424 EXTRACTS BTHP SB MO,Y,,,,0,,10-MAY-17,31-DEC-99,0,,0,,3.99,,0,,,3.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
746323,1100,7,HAIR MASS,3,DAILY CONDITIONER   ,288,S/D SUPERFOODS,S/D COCONUT WATER CONDITIONER 400ML,COCONUT WATER CONDITIONER 400ML,SUPERDRUG,,TALKER_BEAUTY,400, per 100ml, per 100ml,per 100ml,131,HAIR (BRUSHES-COMBS),342396, ,131,Enhance Promotion,1,.1,3.99,3.99,0,0,,BETTER THAN 1/2 PRICE MEMBERS,,,1,1,1,1,1,0,3.99,N,0,0,765,P (Private Label),0424 EXTRACTS BTHP SB MO,Y,,,,0,,21-SEP-17,31-DEC-99,0,,0,,3.99,,0,,,3.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
746323,1100,7,HAIR MASS,3,DAILY CONDITIONER   ,288,S/D SUPERFOODS,S/D COCONUT WATER CONDITIONER 400ML,COCONUT WATER CONDITIONER 400ML,SUPERDRUG,,TALKER_FAMILY,400, per 100ml, per 100ml,per 100ml,131,HAIR (BRUSHES-COMBS),342396, ,131,Enhance Promotion,1,.1,3.99,3.99,0,0,,BETTER THAN 1/2 PRICE MEMBERS,,,1,1,1,1,1,0,3.99,N,0,0,765,P (Private Label),0424 EXTRACTS BTHP SB MO,Y,,,,0,,21-SEP-17,31-DEC-99,0,,0,,3.99,,0,,,3.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
746323,1100,7,HAIR MASS,3,DAILY CONDITIONER   ,288,S/D SUPERFOODS,S/D COCONUT WATER CONDITIONER 400ML,COCONUT WATER CONDITIONER 400ML,SUPERDRUG,,TALKER_LOCAL VALUE,400, per 100ml, per 100ml,per 100ml,131,HAIR (BRUSHES-COMBS),342396, ,131,Enhance Promotion,1,.1,3.99,3.99,0,0,,BETTER THAN 1/2 PRICE MEMBERS,,,1,1,1,1,1,0,3.99,N,0,0,765,P (Private Label),0424 EXTRACTS BTHP SB MO,Y,,,,0,,21-SEP-17,31-DEC-99,0,,0,,3.99,,0,,,3.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
746411,1100,7,HAIR MASS,2,SHAMPOO             ,299,S/D SUPERFOODS,S/D COCONUT WATER SHAMPOO 400ML,COCONUT WATER SHAMPOO 400ML,SUPERDRUG,,TALKER_BEAUTY,400, per 100ml, per 100ml,per 100ml,131,HAIR (BRUSHES-COMBS),342396, ,131,Enhance Promotion,1,.1,3.99,3.99,0,0,,BETTER THAN 1/2 PRICE MEMBERS,,,1,1,1,1,1,0,3.99,N,0,0,765,P (Private Label),0424 EXTRACTS BTHP SB MO,Y,,,,0,,21-SEP-17,31-DEC-99,0,,0,,3.99,,0,,,3.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
746411,1100,7,HAIR MASS,2,SHAMPOO             ,299,S/D SUPERFOODS,S/D COCONUT WATER SHAMPOO 400ML,COCONUT WATER SHAMPOO 400ML,SUPERDRUG,,TALKER_FAMILY,400, per 100ml, per 100ml,per 100ml,131,HAIR (BRUSHES-COMBS),342396, ,131,Enhance Promotion,1,.1,3.99,3.99,0,0,,BETTER THAN 1/2 PRICE MEMBERS,,,1,1,1,1,1,0,3.99,N,0,0,765,P (Private Label),0424 EXTRACTS BTHP SB MO,Y,,,,0,,21-SEP-17,31-DEC-99,0,,0,,3.99,,0,,,3.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
746411,1100,7,HAIR MASS,2,SHAMPOO             ,299,S/D SUPERFOODS,S/D COCONUT WATER SHAMPOO 400ML,COCONUT WATER SHAMPOO 400ML,SUPERDRUG,,TALKER_LOCAL VALUE,400, per 100ml, per 100ml,per 100ml,131,HAIR (BRUSHES-COMBS),342396, ,131,Enhance Promotion,1,.1,3.99,3.99,0,0,,BETTER THAN 1/2 PRICE MEMBERS,,,1,1,1,1,1,0,3.99,N,0,0,765,P (Private Label),0424 EXTRACTS BTHP SB MO,Y,,,,0,,21-SEP-17,31-DEC-99,0,,0,,3.99,,0,,,3.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
756462,1100,104,ORAL CARE,1,RINSE - MASS,23,ORAL B              ,ORAL B 3D WHITE LUXE PERF RINSE 500ML,3D WHITE LUXE PERF-RINSE 500ML,ORAL B,,TALKER_BEAUTY,500, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341187, ,131,Enhance Promotion,1,.09,4.99,4.99,0,0,,STARBUY MEMBERS ONLY @£2.90,,,1,1,1,1,1,0,4.99,N,0,0,698,A (A Brand),0424 ORAL B STARBUY MEMBERS ONLY @£2.90,Y,,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,4.99,28,0,0,4.99,28,0,,N,4.99,Y,N,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
756462,1100,104,ORAL CARE,1,RINSE - MASS,23,ORAL B              ,ORAL B 3D WHITE LUXE PERF RINSE 500ML,3D WHITE LUXE PERF-RINSE 500ML,ORAL B,,TALKER_FAMILY,500, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341187, ,131,Enhance Promotion,1,.09,4.99,4.99,0,0,,STARBUY MEMBERS ONLY @£2.90,,,1,1,1,1,1,0,4.99,N,0,0,698,A (A Brand),0424 ORAL B STARBUY MEMBERS ONLY @£2.90,Y,,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,4.99,28,0,0,4.99,28,0,,N,4.99,Y,N,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
756462,1100,104,ORAL CARE,1,RINSE - MASS,23,ORAL B              ,ORAL B 3D WHITE LUXE PERF RINSE 500ML,3D WHITE LUXE PERF-RINSE 500ML,ORAL B,,TALKER_LOCAL VALUE,500, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341187, ,131,Enhance Promotion,1,.09,4.99,4.99,0,0,,STARBUY MEMBERS ONLY @£2.90,,,1,1,1,1,1,0,4.99,N,0,0,698,A (A Brand),0424 ORAL B STARBUY MEMBERS ONLY @£2.90,Y,,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,4.99,28,0,0,4.99,28,0,,N,4.99,Y,N,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
773668,1300,21,PERSONAL WASH,14,ADULT WET WIPES     ,2,S/D FEMALE WIPES    ,S/D HANDY ANTIBAC WIPES 15 ALOE,HANDY ANTIBACTERIAL WIPES 15 ALOE,SUPERDRUG,,TALKER_BEAUTY,15, each, each,each,131,P WASH BABY & SANPRO,341161, ,131,Enhance Promotion,1,.52,1.19,1.19,0,0,,BETTER THAN 1/2 PRICE MEMBERS ONLY,,,1,1,1,1,1,0,1.19,N,0,0,449,P (Private Label),0424 S/D ANTIBAC SB WK14 BTHP MO £0.52,Y,,29-NOV-23,03-JAN-24,0,35,03-JAN-24,27-MAR-24,1.19,84,0,0,1.19,84,0,,N,1.19,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
773668,1300,21,PERSONAL WASH,14,ADULT WET WIPES     ,2,S/D FEMALE WIPES    ,S/D HANDY ANTIBAC WIPES 15 ALOE,HANDY ANTIBACTERIAL WIPES 15 ALOE,SUPERDRUG,,TALKER_FAMILY,15, each, each,each,131,P WASH BABY & SANPRO,341161, ,131,Enhance Promotion,1,.52,1.19,1.19,0,0,,BETTER THAN 1/2 PRICE MEMBERS ONLY,,,1,1,1,1,1,0,1.19,N,0,0,449,P (Private Label),0424 S/D ANTIBAC SB WK14 BTHP MO £0.52,Y,,29-NOV-23,03-JAN-24,0,35,03-JAN-24,27-MAR-24,1.19,84,0,0,1.19,84,0,,N,1.19,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
