Superdrug UK,12767,0424 WEEK 15,SDGB,10.04.2024,16.04.2024,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
item,item_status,dept,dept_name,class,class_name,subclass,sub_name,item_desc,item_long_desc,item_brand,model_no,promo_space,product_size,now price per uom,new_was_price_per_uom,uom,xx_prom_type,group_name,xx_prom_id,sku_band,offer_type,offer_desc,offer_qualify_qty,reward,now_price,new_was_price,new_was_was_price,save,bul_one,bul_two,bull_three,image,shelf_tags,no1,no2,no3,no4,0,now_price,new_sku_flag,blip_shelf,blip_position,no_of_stores,Brand_Cat,store_type(xx_prom_desc),data_available,feature_promotion,was_was_price_start_date,was_was_price_end_date,calculated_was_was_price,calculated_was_was_duration,was_price_start_date,was_price_end_date,calculated_was_price,calculated_was_price_duration,new_was_was_price,was_was_price_duration,new_was_price1,was_price_duration,promotion_price,duration_on_promotion_price,exception_flag,was_price_1,overlapping_promotion,overlapping_promo_missing_xppe,offer_code,reward_type_desc,buy_condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
727154,1100,104,ORAL CARE,1,RINSE - MASS,2,SD PRO CARE,S/D PROCARE FRESH BREATH MOUTHWASH 500ML.,EXTRA FRESH BREATH MOUTHWASH 500ML,SUPERDRUG PROCARE,,TALKER_LOCAL VALUE,500, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341024, ,131,Enhance Promotion,1,.15,2.79,2.79,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,2.79,N,0,0,757,P (Private Label),0424 S/D PROCARE SB MO £1.60,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,2.79,,0,,,2.79,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
727159,1100,104,ORAL CARE,1,RINSE - MASS,2,SD PRO CARE,S/D PROCARE SENSITIVE MOUTHWASH 500ML,PROCARE SENSITIVE MOUTHWASH 500ML,SUPERDRUG,,TALKER_BEAUTY,500, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341024, ,131,Enhance Promotion,1,.15,2.79,2.79,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,2.79,N,0,0,762,P (Private Label),0424 S/D PROCARE SB MO £1.60,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,2.79,,0,,,2.79,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
727159,1100,104,ORAL CARE,1,RINSE - MASS,2,SD PRO CARE,S/D PROCARE SENSITIVE MOUTHWASH 500ML,PROCARE SENSITIVE MOUTHWASH 500ML,SUPERDRUG,,TALKER_FAMILY,500, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341024, ,131,Enhance Promotion,1,.15,2.79,2.79,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,2.79,N,0,0,762,P (Private Label),0424 S/D PROCARE SB MO £1.60,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,2.79,,0,,,2.79,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
727159,1100,104,ORAL CARE,1,RINSE - MASS,2,SD PRO CARE,S/D PROCARE SENSITIVE MOUTHWASH 500ML,PROCARE SENSITIVE MOUTHWASH 500ML,SUPERDRUG,,TALKER_LOCAL VALUE,500, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341024, ,131,Enhance Promotion,1,.15,2.79,2.79,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,2.79,N,0,0,762,P (Private Label),0424 S/D PROCARE SB MO £1.60,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,2.79,,0,,,2.79,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
763472,1100,21,PERSONAL WASH,5,BATH                ,7,RADOX BATH          ,RADOX BATH DETOX 500ML,DETOX BATH 500ML,RADOX,,TALKER_BEAUTY,500, per 100ml, per 100ml,per 100ml,131,P WASH BABY & SANPRO,340994, ,131,Enhance Promotion,1,1.4,2.99,2.99,0,0,,STARBUY MEMBERS ONLY @£1.40,,,1,1,1,1,1,0,2.99,N,0,0,742,A (A Brand),0424 RADOX BATH STARBUY MEMBERS ONLY @£1.40,Y,,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,2.99,28,0,0,2.99,28,0,,N,2.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
763472,1100,21,PERSONAL WASH,5,BATH                ,7,RADOX BATH          ,RADOX BATH DETOX 500ML,DETOX BATH 500ML,RADOX,,TALKER_FAMILY,500, per 100ml, per 100ml,per 100ml,131,P WASH BABY & SANPRO,340994, ,131,Enhance Promotion,1,1.4,2.99,2.99,0,0,,STARBUY MEMBERS ONLY @£1.40,,,1,1,1,1,1,0,2.99,N,0,0,742,A (A Brand),0424 RADOX BATH STARBUY MEMBERS ONLY @£1.40,Y,,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,2.99,28,0,0,2.99,28,0,,N,2.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
763472,1100,21,PERSONAL WASH,5,BATH                ,7,RADOX BATH          ,RADOX BATH DETOX 500ML,DETOX BATH 500ML,RADOX,,TALKER_LOCAL VALUE,500, per 100ml, per 100ml,per 100ml,131,P WASH BABY & SANPRO,340994, ,131,Enhance Promotion,1,1.4,2.99,2.99,0,0,,STARBUY MEMBERS ONLY @£1.40,,,1,1,1,1,1,0,2.99,N,0,0,742,A (A Brand),0424 RADOX BATH STARBUY MEMBERS ONLY @£1.40,Y,,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,2.99,28,0,0,2.99,28,0,,N,2.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
767936,1100,104,ORAL CARE,14,REFILL HEADS,11,S/D PRO CARE,S/D PROCARE SONIC REFILL HEADS 4PK, PROCARE SONIC REFILL HEADS 4PK,SUPERDRUG,,TALKER_BEAUTY,1, each, each,each,131,ORAL-DEO-BEAUTY ELEC,341007, ,131,Enhance Promotion,1,.05,19.99,19.99,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,19.99,N,0,0,762,P (Private Label),0424 S/D PROCARE SB MO £12.45,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,19.99,,0,,,19.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
767936,1100,104,ORAL CARE,14,REFILL HEADS,11,S/D PRO CARE,S/D PROCARE SONIC REFILL HEADS 4PK, PROCARE SONIC REFILL HEADS 4PK,SUPERDRUG,,TALKER_FAMILY,1, each, each,each,131,ORAL-DEO-BEAUTY ELEC,341007, ,131,Enhance Promotion,1,.05,19.99,19.99,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,19.99,N,0,0,762,P (Private Label),0424 S/D PROCARE SB MO £12.45,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,19.99,,0,,,19.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
767936,1100,104,ORAL CARE,14,REFILL HEADS,11,S/D PRO CARE,S/D PROCARE SONIC REFILL HEADS 4PK, PROCARE SONIC REFILL HEADS 4PK,SUPERDRUG,,TALKER_LOCAL VALUE,1, each, each,each,131,ORAL-DEO-BEAUTY ELEC,341007, ,131,Enhance Promotion,1,.05,19.99,19.99,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,19.99,N,0,0,762,P (Private Label),0424 S/D PROCARE SB MO £12.45,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,19.99,,0,,,19.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
767938,1100,104,ORAL CARE,14,REFILL HEADS,11,S/D PRO CARE,S/D PRO CARE REPLACE BRUSH HEADS 4PK NEW,PRO CARE REPLACE BRUSH HEADS HEADS 4PK,SUPERDRUG,,TALKER_BEAUTY,4, each, each,each,131,ORAL-DEO-BEAUTY ELEC,341021, ,131,Enhance Promotion,1,.05,11.99,11.99,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,11.99,N,0,0,765,P (Private Label),0424 S/D PROCARE SB MO £8.45,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,11.99,,0,,,11.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
767938,1100,104,ORAL CARE,14,REFILL HEADS,11,S/D PRO CARE,S/D PRO CARE REPLACE BRUSH HEADS 4PK NEW,PRO CARE REPLACE BRUSH HEADS HEADS 4PK,SUPERDRUG,,TALKER_FAMILY,4, each, each,each,131,ORAL-DEO-BEAUTY ELEC,341021, ,131,Enhance Promotion,1,.05,11.99,11.99,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,11.99,N,0,0,765,P (Private Label),0424 S/D PROCARE SB MO £8.45,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,11.99,,0,,,11.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
767938,1100,104,ORAL CARE,14,REFILL HEADS,11,S/D PRO CARE,S/D PRO CARE REPLACE BRUSH HEADS 4PK NEW,PRO CARE REPLACE BRUSH HEADS HEADS 4PK,SUPERDRUG,,TALKER_LOCAL VALUE,4, each, each,each,131,ORAL-DEO-BEAUTY ELEC,341021, ,131,Enhance Promotion,1,.05,11.99,11.99,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,11.99,N,0,0,765,P (Private Label),0424 S/D PROCARE SB MO £8.45,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,11.99,,0,,,11.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
770067,1100,104,ORAL CARE,14,REFILL HEADS,11,S/D PRO CARE,S/D PROCARE PERFECT ANGLE REFILLS 4PCK,PROCARE PERFECT ANGLE REPLACEMENT HEAD BRUSHES 4PK,SUPERDRUG,,TALKER_BEAUTY,4, each, each,each,131,ORAL-DEO-BEAUTY ELEC,341021, ,131,Enhance Promotion,1,.05,11.99,11.99,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,11.99,N,0,0,764,P (Private Label),0424 S/D PROCARE SB MO £8.45,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,11.99,,0,,,11.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
770067,1100,104,ORAL CARE,14,REFILL HEADS,11,S/D PRO CARE,S/D PROCARE PERFECT ANGLE REFILLS 4PCK,PROCARE PERFECT ANGLE REPLACEMENT HEAD BRUSHES 4PK,SUPERDRUG,,TALKER_FAMILY,4, each, each,each,131,ORAL-DEO-BEAUTY ELEC,341021, ,131,Enhance Promotion,1,.05,11.99,11.99,0,0,,MEMBERS ONLY,,,1,1,1,1,1,0,11.99,N,0,0,764,P (Private Label),0424 S/D PROCARE SB MO £8.45,Y,,,,0,,28-FEB-24,31-DEC-99,0,,0,,11.99,,0,,,11.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
